Name der Veranstaltung	Datum und Uhrzeit	Ort
1000MODS + GODSLEEP	Do., 26.10.2023 - 20:00 Uhr	Backstage - Halle
Menschenbilder – Werke von Birgit Eiglsperger	Do., 26.10.2023 - 10:00 Uhr	Museum für Abgüsse
Ganz nah – Kleine Käfer ganz groß	Do., 26.10.2023 - 09:00 Uhr	Museum Mensch und Natur
Two Views on Plants	Do., 26.10.2023 - 09:00 Uhr	Botanischer Garten
Frei leben! Die Frauen der Boheme 1890 - 1920	Do., 26.10.2023 - 12:00 Uhr	Monacensia im Hildebrandhaus
Welt-Kunst 1923. Von der Umwertung der deutschsprachigen Kunstgeschichte	Do., 26.10.2023 - 09:00 Uhr	Zentralinstitut für Kunstgeschichte
Mythos Spanien	Do., 26.10.2023 - 10:00 Uhr	Kunsthalle München
„So entwickeln wir die Stadt“: Ausstellung im PlanTreff	Do., 26.10.2023 - 12:00 Uhr	PlanTreff München
München Displaced – Der Rest der Geretteten	Do., 26.10.2023 - 10:00 Uhr	Jüdisches Museum München
Online-Ticket Freizeitsport - Hallenangebote 2023/2024	Do., 26.10.2023 - 08:30 Uhr	Diverse Orte in München
Arkadenale 2023	Do., 26.10.2023 - 13:00 Uhr	Kunstarkaden
Den Holzknechten auf der Spur. Das Holzknechtmuseum Ruhpolding zu Gast im Infopoint	Do., 26.10.2023 - 10:00 Uhr	Infopoint Museen & Schlösser in Bayern
We Are Plants	Do., 26.10.2023 - 10:00 Uhr	Galerie Bezirk Oberbayern
Beauty and the Truth	Do., 26.10.2023 - 13:00 Uhr	Rathausgalerie
Circus-Theater Roncalli	Do., 26.10.2023 - 15:00 Uhr	Werksviertel-Mitte
Straßenmusik - Fahrende Musikanten und ihre Instrumente	Do., 26.10.2023 - 10:00 Uhr	Bayerisches Nationalmuseum
CAFÈ POPULAIRE von Nora Abdel-Maksoud	Do., 26.10.2023 - 20:00 Uhr	TamS
CORIOLAN - von William Shakespeare	Do., 26.10.2023 - 20:00 Uhr	Theater Viel Lärm Um Nichts
Max Dudler - Bauen für Bücher	Do., 26.10.2023 - 08:00 Uhr	Bayerische Staatsbibliothek
Zirkus bis Apostel. Terra Sigillata aus der Sammlung K. Wilhelm	Do., 26.10.2023 - 10:00 Uhr	Staatliche Antikensammlungen
Materializing. Zeitgenössische Kunst und die Shoah in Polen	Do., 26.10.2023 - 10:00 Uhr	NS-Dokumentationszentrum München
Museum Fünf Kontinente - Dauerausstellung	Do., 26.10.2023 - 09:30 Uhr	Museum Fünf Kontinente
Museum Brandhorst	Do., 26.10.2023 - 10:00 Uhr	Museum Brandhorst
Staatliche Antikensammlungen	Do., 26.10.2023 - 10:00 Uhr	Staatliche Antikensammlungen
LA TRAVIATA	Do., 26.10.2023 - 20:00 Uhr	Deutsches Theater
A scheene Leich	Do., 26.10.2023 - 20:00 Uhr	Münchner Kammerspiele
Tante Olgas Silberleuchter. Eine Münchner Familiengeschichte	Do., 26.10.2023 - 10:00 Uhr	Jüdisches Museum München
Musikforum Blutenburg - Resturlaub im Ladyhort	Do., 26.10.2023 - 19:00 Uhr	Pasinger Fabrik - Kleine Bühne
100 Jahre Planetarium	Do., 26.10.2023 - 09:00 Uhr	Deutsches Museum München
Der Blaue Reiter. Gruppendynamik	Do., 26.10.2023 - 10:00 Uhr	Lenbachhaus München
Crazy Christmas - Weihnachtskrippe und Zeitgeist	Do., 26.10.2023 - 10:00 Uhr	Bayerisches Nationalmuseum
Damien Hirst: For the Love of God	Do., 26.10.2023 - 10:00 Uhr	Museum of Urban and Contemporary Art (MUCA)
(K)ein Puppenheim	Do., 26.10.2023 - 10:00 Uhr	Münchner Stadtmuseum
Lumi	Do., 26.10.2023 - 10:30 Uhr	Schauburg
LOEWENHERZ TANZTHEATER	Do., 26.10.2023 - 11:00 Uhr	Pepper Theater
Loewenherz - Tanztheater von Simone Lindner	Do., 26.10.2023 - 11:00 Uhr	Pepper Theater
Kafka: 1924	Do., 26.10.2023 - 11:00 Uhr	Villa Stuck
SKA After-Work-Party	Do., 26.10.2023 - 18:00 Uhr	Isarpost
SEMBLANT + SYSTEMHOUSE 33 + WHITE WALLS + MEZMERIZED	Do., 26.10.2023 - 19:15 Uhr	Backstage - Club
DER MEDICUS	Do., 26.10.2023 - 19:30 Uhr	Deutsches Theater
Jurassic Parc	Do., 26.10.2023 - 20:00 Uhr	Hofspielhaus
Die Improvisation ist weiblich	Do., 26.10.2023 - 20:00 Uhr	Gasteig HP8
Lutz Kulpa - ''SOLO''	Do., 26.10.2023 - 20:00 Uhr	Theater Drehleier
Shakespeares sämtliche Werke (leicht gekürzt)	Do., 26.10.2023 - 20:00 Uhr	Hofspielhaus
Philipp Weber - KI: Künstliche Idioten	Do., 26.10.2023 - 20:00 Uhr	Lustspielhaus
100 KILO HERZ	Do., 26.10.2023 - 20:00 Uhr	Backstage - Halle
Roland Hefter - So lang's no geht	Do., 26.10.2023 - 20:00 Uhr	Schlachthof
Loi - I Follow Tour 2022	Do., 26.10.2023 - 20:30 Uhr	Strom
30 JAHRE RADIO FEIERWERK	Do., 26.10.2023 - 20:30 Uhr	Kranhalle (Feierwerk)
